Latitude,Longitude,State,District,Stunting,Wasting,Underweight
27.4921909,95.346775,AS,Barpeta,41.7,16.6,33.1
26.7465203,94.2025859,AS,Bongaigaon,39.1,23.6,32.9
27.4811106,94.5572847,AS,Cachar,36.3,30.6,36.3
26.4446185,91.4410527,AS,Chirang,40.1,13,24.7
27.4728327,94.9119621,AS,Darrang,43.5,19.2,37.9
26.3304209,91.0040547,AS,Dhemaji,35.5,6.2,15.8
26.5238515,93.962337,AS,Dhubri,47.4,22.2,39
26.4522876,92.027319,AS,Dibrugarh,33.3,22.4,33
26.3160819,91.5983959,AS,Dima Hasao,34.7,6.3,18.2
26.6897159,91.9099238,AS,Goalpara,42.7,22.1,39.5
24.6811018,92.5638055,AS,Golaghat,32.6,13.9,20.2
26.2599654,92.2630393,AS,Hailakandi,38.1,19.1,32.5
26.6738851,92.8577105,AS,Jorhat,25.5,14.8,18.1
27.9462395,80.7787163,AS,Kamrup Metropolitan,24.6,11,23.2
26.9826098,94.6424521,AS,Kamrup,33.3,18.8,29.6
26.6935448,91.5983959,AS,Karbi Anglong,28.1,18.7,23.7
24.7821253,92.8577105,AS,Karimganj,42.3,17.6,35.6
26.0875755,90.563609,AS,Kokrajhar,30.6,15.7,27.1
25.8456764,93.4377584,AS,Lakhimpur,29.3,11.2,24.2
26.3463713,92.6840426,AS,Morigaon,38.4,10.3,25.8
26.5009992,90.5352356,AS,Nagaon,38.4,13.3,31.3
26.6539048,90.6393702,AS,Nalbari,26.8,15.3,20
26.0206982,89.9743463,AS,Sivasagar,35.5,8.3,22.2
25.3478004,93.0175712,AS,Sonitpur,28.7,21.5,26.9
26.4014362,90.266699,AS,Tinsukia,36,14.8,32.7
26.0794316,91.637215,AS,Udalguri,39.1,18.3,31.8
25.5940947,85.1375645,BR,Araria,48.4,22.8,45.4
24.7913957,85.0002336,BR,Arwal,50.2,30.7,54
25.466155,84.5222189,BR,Aurangabad,48.3,24.8,47.6
25.0685878,84.0167423,BR,Banka,49.6,26,48.5
26.2196205,84.3566593,BR,Begusarai,44.9,18.4,39.1
25.5647103,83.9777482,BR,Bhagalpur,46.6,23.1,40.8
26.4513665,84.3962535,BR,Bhojpur,43.5,26,47.2
25.1643264,84.6688348,BR,Buxer,43.9,19.6,41.2
25.6838206,85.354965,BR,Darbhanga,49,16.6,41.1
24.8910775,85.5354724,BR,Gaya,52.9,25.6,53.1
25.1416937,85.8628915,BR,Gopalganj,35.6,16.5,30.5
25.1673614,86.0988253,BR,Jamui,45.9,29.4,47.2
25.416675,86.1293792,BR,Jehanabad,52.1,19.6,47.1
25.3478004,86.9824288,BR,Kaimur (Bhabua),53.8,21.4,48.1
24.764688,86.3376761,BR,Katihar,49.2,20.7,45.1
19.8761653,75.3433139,BR,Khagaria,49.8,17,42.4
26.0917422,87.9383822,BR,Kishanganj,46.9,22.8,45.4
26.1317087,86.6107106,BR,Lakhisarai,50.6,20.1,47.3
25.0426227,83.6055732,BR,Madhepura,51.8,24.2,49.2
24.7757005,86.8220341,BR,Madhubani,51.8,19.1,45.4
25.8834961,86.6006249,BR,Munger,46.6,21.5,43.7
